Yr,dev,species,short_name
1980,-0.763698,Black_rockfish_OR_2023_Full,Black_rockfish_OR
1981,-0.782661,Black_rockfish_OR_2023_Full,Black_rockfish_OR
1982,-0.571477,Black_rockfish_OR_2023_Full,Black_rockfish_OR
1983,-0.613467,Black_rockfish_OR_2023_Full,Black_rockfish_OR
1984,-0.175511,Black_rockfish_OR_2023_Full,Black_rockfish_OR
1985,0.07481,Black_rockfish_OR_2023_Full,Black_rockfish_OR
1986,-0.0866929,Black_rockfish_OR_2023_Full,Black_rockfish_OR
1987,-0.131917,Black_rockfish_OR_2023_Full,Black_rockfish_OR
1988,-0.0430835,Black_rockfish_OR_2023_Full,Black_rockfish_OR
1989,0.226656,Black_rockfish_OR_2023_Full,Black_rockfish_OR
1990,0.128922,Black_rockfish_OR_2023_Full,Black_rockfish_OR
1991,0.247942,Black_rockfish_OR_2023_Full,Black_rockfish_OR
1992,0.150957,Black_rockfish_OR_2023_Full,Black_rockfish_OR
1993,0.136072,Black_rockfish_OR_2023_Full,Black_rockfish_OR
1994,0.413975,Black_rockfish_OR_2023_Full,Black_rockfish_OR
1995,0.337799,Black_rockfish_OR_2023_Full,Black_rockfish_OR
1996,0.0472607,Black_rockfish_OR_2023_Full,Black_rockfish_OR
1997,-0.0013206,Black_rockfish_OR_2023_Full,Black_rockfish_OR
1998,-0.313813,Black_rockfish_OR_2023_Full,Black_rockfish_OR
1999,0.506141,Black_rockfish_OR_2023_Full,Black_rockfish_OR
2000,0.825554,Black_rockfish_OR_2023_Full,Black_rockfish_OR
2001,0.183675,Black_rockfish_OR_2023_Full,Black_rockfish_OR
2002,-0.455505,Black_rockfish_OR_2023_Full,Black_rockfish_OR
2003,0.221337,Black_rockfish_OR_2023_Full,Black_rockfish_OR
2004,-1.11732,Black_rockfish_OR_2023_Full,Black_rockfish_OR
2005,0.393698,Black_rockfish_OR_2023_Full,Black_rockfish_OR
2006,0.242403,Black_rockfish_OR_2023_Full,Black_rockfish_OR
2007,-0.413038,Black_rockfish_OR_2023_Full,Black_rockfish_OR
2008,0.994497,Black_rockfish_OR_2023_Full,Black_rockfish_OR
2009,-0.249228,Black_rockfish_OR_2023_Full,Black_rockfish_OR
2010,0.491118,Black_rockfish_OR_2023_Full,Black_rockfish_OR
2011,0.362077,Black_rockfish_OR_2023_Full,Black_rockfish_OR
2012,0.108353,Black_rockfish_OR_2023_Full,Black_rockfish_OR
2013,0.466745,Black_rockfish_OR_2023_Full,Black_rockfish_OR
2014,0.313665,Black_rockfish_OR_2023_Full,Black_rockfish_OR
2015,-0.50598,Black_rockfish_OR_2023_Full,Black_rockfish_OR
2016,0.33098,Black_rockfish_OR_2023_Full,Black_rockfish_OR
2017,-0.979919,Black_rockfish_OR_2023_Full,Black_rockfish_OR
