year,response
1983,10.72639254
1984,12.32463621
1985,10.48666157
1986,11.73334182
1987,10.34599418
1988,12.53380492
1989,7.621980355
1990,8.718931654
1991,8.360752954
1992,9.400753029
1993,8.878085006
1994,7.508461107
1995,6.323669383
1996,8.057847777
1997,7.380654022
1998,5.116629123
1999,6.051749773
2000,8.084562647
2001,8.645946657
2002,8.384459799
2003,7.152141729
2004,8.228234857
2005,4.583210384
2006,5.694261675
2007,6.3662924
2008,6.863347645
2009,8.717070317
2010,7.743519942
2011,8.247937664
2012,7.059652676
2013,11.24760029
2014,9.335108289
2015,11.73794768
2016,11.62069407
2017,9.919395566
2018,8.505853312
2019,4.270009063
2020,9.927222908
2021,7.784300214
2022,8.266473061
